Destinasi ,2. Alamat,3. Kalurahan/Kelurahan,4. Kapanewon/Kemantren,4.a.  Kabupaten /kota,5. Status Lahan,6. Koordinat,7. Kontak Pengelola 1,7. Kontak Pengelola 2,8. Situs/website,10.a. Facebook,10.b. Instagram,10.c. Youtube,10.d. Tiktok,11. Kelompok Perizinan berusaha Berbasis Risiko,Jenis Wisata,Rating Maps,Latitude,Longitude,Daya Tarik Utama,Harga Tiket Weekday,Harga Tiket Weekend dan Libur Nasional,Parkir Motor,Parkir Mobil,Jam Buka Weekday,Jam Buka Weekend dan Libur Nasional,Toilet,Tempat Sampah,CCTV,Area Parkir,Area Makanan/kafetaria/Restoran,Ruang Ibadah,Area Istirahat Pengunjung
Lava Bantal,"Jl. Berbah - Prambanan, Jragung",Jogotirto,Berbah,Sleman,Tanah Kasultanan,"7°48'27""S 110°27'35""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.4,-7.807209834,110.4595109,"Bebatuan lava yang berbentuk seperti tumpukan bantal raksasa. Formasi geologi ini terbentuk akibat letusan gunung api purba bawah laut sekitar 60 juta tahun lalu. Saat magma keluar dan bersentuhan langsung dengan air laut, magma membeku dengan cepat dan membentuk struktur seperti bantal.",Rp0,Rp0,"Rp2,000","Rp5,000",09.00-17.00,09.00-17.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Wisata Wayang Wukirsari,"jl.nogosari, nogosari 2, wukirsari, imogiri, bantul",Wukirsari,Imogiri,Bantul,shm,"-7.9054753,110.4087598",087887110119,-,-,-,-,-,-,Tidak Ada Keterangan,Budaya,4.7,-7.903646938,110.408495,Pusat kerajinan wayang kulit yang telah diakui dunia,"Rp35,000","Rp35,000","Rp3,000","Rp5,000",09.00-16.00,09.00-16.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Watu Jagal,"Plataran, Banyurejo",Banyurejo,Tempel,Sleman,-,"7°42'26""S 110°16'12""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.1,-7.7069235,110.2702077,"Watu Jagal, Situs sejarah berupa batu yang konon digunakan untuk pemenggalan pada masa penjajahan Belanda.","Rp5,000","Rp5,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Museum Gumuk Pasir Parangtritis Geomaritim Science Park,Jalan Lintas Selatan Depok,Parangtritis,Kretek,Bantul,Tanah Kasultanan,"-8,009543 S  110,302595E",Mbak Gia 085640373420,Yonanta 085643912964,mgp.big.go.id,tidak ada,bgpgp_official,bgpgp-tv,tidak ada,Rendah,Sejarah,4.5,-8.009125348,110.3022237,Museum yang memberikan edukasi tentang proses terbentuknya gumuk pasir.,Rp0,Rp0,"Rp5,000","Rp10,000",09.00-15.00,closed,Ada,Ada,Ada,Ada,Tidak Ada,Ada,Ada
Pantai Parangkusumo,Jl Pantai Parangkusumo,Parangtritis,Kretek,Bantul,Tanah Kasultanan,"-8,022892S  110,325206E",Tri Waldiyono  08174120781,Adi Cahya  085225594354,tidak ada,tidak ada,tidak ada,tidak ada,tidak ada,Rendah,Alam,4.4,-8.020814211,110.3247375,"Pantai yang memiliki nilai spiritual dan budaya,","Rp15,000","Rp15,000","Rp2,000","Rp10,000",00.00-23.59,00.00-23.59,Tidak Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Museum Serat Holistik Kehidupan Susilawati Susmoni,"Jl. Marto Suharjo No.123, RT.01/RW.27, Bantarjo, Donoharjo, Kec. Ngaglik",Donoharjo,Ngaglik,Sleman,Tanah Kasultanan,"-7.701984619392236, 110.38637386627029",08111055088,-,-,-,"@museum,shkss",susilawati susmono official,-,Tidak Ada Keterangan,Budaya,4.9,-7.701608106,110.386327,"Koleksi karya seni multidisiplin (buku, lukisan, manuskrip, musik) yang merefleksikan makna hidup secara holistik.","Rp20,000","Rp20,000","Rp3,000","Rp5,000",09.00-16.00,09.00-16.00,Ada,Ada,Ada,Ada,Ada,Ada,Tidak Ada
Pantai Gua Cemara,"Jl. Lintas Selatan, Patihan",Gadingsari,Sanden,Bantul,Tanah Kasultanan,"7°59'58""S 110°14'56""E",0887739159052,-,www.goacemara.com,goacemarajogja,goacemarabeach,-,trip_goacemara,Tidak Ada Keterangan,Alam,4.4,-7.996391089,110.2502605,Pemandangan Pantai dan Hutan cemara udang yang membentuk lorong-lorong alami seperti gua.,"Rp15,000","Rp15,000","Rp5,000","Rp10,000",00.00-23.59,00.00-23.59,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Museum Paleoantropologi,"Sendowo, Sinduadi",Sinduadi,Mlati,Sleman,Milik Universitas Gajah Mada,"7°46'13""S 110°22'31""E",-,-,https://research.fkkmk.ugm.ac.id/museum-bio-paleoantropologi-dan-anatomi/,-,museumbiopaleoantropologi,-,-,Tidak Ada Keterangan,Sejarah,4.9,-7.769768286,110.3753217,Koleksi mengenai evolusi manusia dan anatomi tubuh,"Rp20,000","Rp20,000","Rp3,000","Rp5,000",09.00-15.00,closed,Ada,Ada,Ada,Ada,Tidak Ada,Tidak Ada,Ada
Museum Bantul Masa Belanda,"Jl Ngringinan, kedon",Palbapang,Bantul,Bantul,SHM,"-7.918600, 110.319628",85842856438,"museum,masa.belanda@gmail.com",-,-,@museumbantulmasabelanda,-,-,Rendah,Sejarah,4.2,-7.918260195,110.3194156,peninggalan masa belanda,"Rp85,000","Rp85,000","Rp3,000","Rp5,000",09.00-17.00,09.00-17.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Tidak Ada
Kraton,Panembahan Kraton,Panembahan ,Kraton,Kota Yogyakarta,Kraton,"-7.806969, 110.363936",085851334454,-,Kratonjogja.id,Kraton Jogja,Kraton Jogja ,Kraton Jogja ,Kraton Jogja,Menengah Tinggi,Budaya,4.7,-7.80490326,110.3644135,Kraton Jogja,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",08.30-14.30,08.30-14.30,Ada,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada
Gua Pindul,Gelaran I,Bejiharjo,Karangmojo,Gunungkidul,Tanah Kasultanan,"-79,266,911,064,776",085741973511 ( Arif Sulistiyo),-,desawisatabejiharjo.net,cave tubing pindul,@goapindul,-,dewabejogoapindul,Rendah,Alam,4.5,-7.921620801,110.6519178,Wisata susur goa dengan menggunakan ban (cave tubing) di sepanjang aliran sungai bawah tanah.,"Rp40,000","Rp45,000","Rp3,000","Rp5,000",07.00-16.00,07.00-16.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Candi Prambanan,Jln Raya Solo Jogja Bokoharjo Prambanan,Bokoharjo,Prambanan,Sleman,Tanah Kasultanan,"-7.75286,110.4924",0274 496406,-,injourneydestination.id,prambanan park,prambanan park,borobudurpark,@wisata candi prambanan,Tinggi,Sejarah,4.7,-7.748835891,110.4911857,Kompleks candi Hindu terbesar di Indonesia dengan arsitektur yang megah.,"Rp50,000","Rp50,000","Rp3,000","Rp5,000",06.00-16.30,06.00-16.30,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Batu Alien ,Jambu RT 3 RW 4 Kepuharjo Cangkringan ,Kepuharjo ,Cangkringan ,Sleman,Pribadi dikelola Pedukuhan ,"-7.603289, 110.455578",085713358119,-,-,-,-,-,Batu.alien,Tidak Ada Keterangan,Alam,4.6,-7.60132334,110.4551638,Batu besar hasil lontaran erupsi Gunung Merapi 2010 dengan bentuk unik menyerupai wajah.,"Rp5,000","Rp5,000","Rp3,000","Rp5,000",06.00-17.00,06.00-17.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Wisata Alam Kali Gowang ,kendal,Giring,Paliyan,Gunungkidul,"Kementerian Kehutana,n kendal giring","-8.014119715179945, 110.56445816618961",08813800186 (bapak suroto),-,-,-,-,-,-,Tinggi,Alam,4.6,-8.013722618,110.5644307,Aliran sungai yang jernih di tengah perbukitan dengan tebing yang curam yang digunakan  untuk berendam/mandi,Rp0,Rp0,"Rp3,000","Rp7,000",00.00-23.59,00.00-23.59,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Ada
Gua Sriti ,Dukuh,Purwoharjo,Samigaluh,Kulon Progo,SHM,"-7.703436712196461, 110.20342360298746",081387180149 (bapak sulasto),-,-,-,-,-,-,Rendah,Alam,4.3,-7.7022266,110.2031002,Gua alami dengan formasi batuan karst,"Rp30,000","Rp35,000","Rp2,000","Rp5,000",09.00-17.00,09.00-17.00,Tidak Ada,Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Tidak Ada
Monumen Pahlawan Pancasila,"Jl. Sawitsari Condongcatur Depok, Kentungan",Condongcatur,Depok,Sleman,Tanah Milik Komando Daerah Militer (Kodam),"-7.754553993558963, 110.38793445092848",089672270482,-,-,-,@monumenpahlawahpancasila,-,-,Tinggi,Sejarah,4.6,-7.754575263,110.3879988,Monumen untuk mengenang gugurnya para pahlawan revolusi dalam peristiwa G30SPKI,Rp0,Rp0,"Rp2,000","Rp5,000",07.30-14.30,07.30-14.30,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Tidak Ada
Kawasan Konservasi Mangrove Baros,Baros,Tirtohargo,Kretek,Bantul,sulranground,"-8,008122S  110,282314 E",Andi wibowo 085640633064,Wawan sadewa 08570230880,tdak aada,tidak ada,tidak ada,tidak ada,tidak ada,Rendah,Alam,4.3,-8.007110147,110.2834193,Lokasi kawasan konservasi mangrove,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",08.00-18.00,08.00-18.00,Ada,Ada,Tidak Ada,Ada,Ada,Tidak Ada,Ada
Gua Rencang Kencono,"Mungguran II, Bleberan",Bleberan,Playen,Gunungkidul,Tanah Kasultanan,"S 7° 56′ 56.71″, E 110° 29′ 33.61″",085334005700,-,-,-,-,-,-,Rendah,Alam,4.3,-7.949194157,110.4927691,Gua bersejarah yang memiliki nilai arkeologis dan sejarah perjuangan Laskar Mataram,"Rp15,000","Rp15,000","Rp2,000","Rp5,000",08.00-16.00,08.00-16.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Museum Tani Jawa Indonesia,"candran, kebonagung, imogiri, bantul",Kebonagung,Imogiri,Bantul,SHM,"-7.9244209,110.3714361",082138659157,-,-,-,museumtani,-,tanijawaindonesia,Tidak Ada Keterangan,Sejarah,4.5,-7.923793072,110.3714136,Koleksi alat-alat pertanian tradisional Jawa.,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",09.00-15.00,closed,Ada,Ada,Ada,Ada,Tidak Ada,Ada,Ada
Gua Permoni,Blawong 1,Trimulyo,Jetis,Bantul,-,"-7.879683, 110.396496",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.2,-7.879461294,110.3965004,Gua alami dengan keindahan stalaktit dan stalagmit yang masih alami.,Rp0,Rp0,"Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Ada
Candi Kalasan,Jl Raya jogja solo,Tirtomartani,Kalasan,Sleman,Tanah Kasultanan,"-7.7673355,110.4723905",087738161245 Dwi,-,-,-,-,-,-,Rendah,Sejarah,4.6,-7.765487123,110.4723576,"Candi Buddha tertua di Yogyakarta, dikenal dengan arsitekturnya yang megah, dan stupa-stupa di sekitarnya","Rp10,000","Rp10,000","Rp5,000","Rp15,000",08.00-17.00,08.00-17.00,Ada,Ada,Ada,Ada,Tidak Ada,Ada,Ada
Gua Kidang Kencono,Sabrang Kidul,Purwosari,Girimulyo,Kulon Progo,Lahan Kas Desa Dan Pribadi,"-7,735548S 110,131867E",Sariman 088216305558,Suwaryo 085189005973,tidak ada,tidak ada,tidak ada,tidak ada,tidak ada,Tidak Ada Keterangan,Alam,4.4,-7.7347315,110.1325732,Gua dengan formasi stalaktit dan stalagmit,"Rp25,000","Rp25,000","Rp3,000","Rp5,000",08.00-16.00,08.00-17.00,Ada,Tidak Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Tidak Ada
Museum Wayang Kekayon,"Jl. Jogja-Wonosari Km 7 No 277,RT 3, Kalangan",Baturetno ,Banguntapan,Bantul,SHM,"-7.814391937350563, 110.41306039444959",0817461551,-,-,-,-,-,-,Tidak Ada Keterangan,Budaya,4.2,-7.814083946,110.4130186,"Koleksi wayang kulit, wayang golek, dan berbagai jenis wayang lainnya.","Rp20,000","Rp20,000","Rp3,000","Rp5,000",08.30-14.00,08.30-12.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Situs Warungboto,"Jl. Veteran No.77, Warungboto",Warungboto,Umbulharjo,Kota Yogyakarta,Tanah Kasultanan,"-7.8100451590895235, 110.39328364213577",081328981709,-,bpk.wil10@kemdikbud.go.id,-,-,-,-,Rendah,Sejarah,4.4,-7.809984991,110.3932165,Situs sejarah berupa reruntuhan bangunan cagar budaya yang merupakan kompleks pemandian kuno,Rp0,Rp0,"Rp3,000","Rp5,000",08.00-17.00,08.00-17.00,Tidak Ada,Tidak Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Ada
Ndalem Pojokusuman / Pamulangan Beksa Sasminta Mardawa,"Ndalem Pujokusuman, Keparakan",Keparakan ,Mergangsan ,Kota Yogyakarta,Tanah Kasultanan,"-7.813078995183645, 110.3697614521223",087738053939,082137665725,-,-,sasmita_mardawa,Sasmita Mardawa Official,sasmita_mardawa,Tidak Ada Keterangan,Budaya,4.6,-7.813004598,110.3696756,Bangunan bersejarah yang berfungsi sebagai pusat pelestarian dan pelatihan tari klasik gaya Yogyakarta.,Rp0,Rp0,"Rp3,000","Rp5,000",03.00-12.00,03.00-12.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Museum Purbakala Taman Wisata Prambanan,"Jl. Raya Yogya - Solo, KM. 16, Prambanan Sleman, Kranggan",Bokoharjo,Prambanan,Sleman,Tanah Kasultanan,"-7.749474,110.493822",-,-,injourneydestination.id,Prambanan Park,@prambanan park,BorobudurPark,@tamanwisatacandi,Rendah,Sejarah,4.5,-7.753242108,110.4891535,"Museum  arca-arca, relief","Rp50,000","Rp50,000","Rp3,000","Rp5,000",08.00-15.30,08.00-15.30,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Pantai Timang,Luweng Ombo,Purwodadi,Tepus,Gunungkidul,Tanah Kasultanan,"-8.1762379,110.6625222",085228250598,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.5,-8.175198434,110.6624293,Pantai dengan tebing terjal dan ombak besa,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Air Terjun Luweng Sampang,"Jl. Juminahan, Kayen",Sampang,Gedangsari,Gunungkidul,-," -7.809841, 110.572227.",-,-,-,WILUSA wisata luweng sampang official ,wisata luweng sampang official ,-,-,Tidak Ada Keterangan,Alam,4.0,-7.808709949,110.5727582,Air terjun dengan formasi bebatuan unik yang menyerupai ngarai kecil,Rp0,Rp0,"Rp3,000","Rp5,000",09.00-17.00,06.00-18.00,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Makam Nyi Ageng Serang ,Beku Banjarharjo Kalibawang ,Banjarharjo ,Kalibawang ,Kulon Progo,Tanah Wakaf,"-7.686397, 110.241185",Pengelola tidak mempunyai HP,Pengelola tidak mempunyai HP,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.5,-7.68477786,110.24057585,Makam pahlawan nasional  Nyi Ageng Serangyang memiliki nilai sejarah dan spiritual.,Rp0,Rp0,"Rp3,000","Rp5,000",08.00-16.00,08.00-16.00,Ada,Ada,Tidak Ada,Tidak Ada,Tidak Ada,Ada,Ada
Goa Sentono,"Blambangan, Karangan",Jogotirto,Berbah,Sleman,Tanah Kasultanan,"7°48'37""S 110°28'06""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.2,-7.249048706,111.4568247,Nilai Sejarah dan Religi.,Rp0,Rp0,"Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Laguna Pantai Trisik dan Pantai Trisik,Sidorejo Pedukuhan XIII,Banaran,Galur,Kulon Progo,Tanah Pakualaman,"-7. 9747667,110.1938524",087839359046,-,nyiur.java@gmail.com,-,@dewi_banaran,visitbanaran,@dewi_banaran,Tidak Ada Keterangan,Alam,4.0,-7.97410377,110.19386398,Laguna atau telaga alami yang terbentuk dari muara sungai dan menjadi lokasi konservasi penyu dan konservasi mangrove (ekowisata edukasi konservasi),"Rp10,000","Rp10,000","Rp2,000","Rp5,000",06.00-18.00,06.00-18.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Gua Jlamprong ,Semuluh Lor,Ngeposari,Semanu,Gunungkidul,Tanah Kas Desa,"-8.011066585230155, 110.67760525027141",082135410822,-,-,Gua Jlamprong,goajlamprong,-,-,Tidak Ada Keterangan,Alam,4.0,-8.011055969,110.6776696,Gua dengan formasi batuan karst dan ekosistem yang masih alam,"Rp35,000","Rp35,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Ada
Gunung Gamping,"Jl. Gamping Tengah, Gamping Tengah",Ambarketawang,Gamping,Sleman,Tanah Kasultanan,"7°48'16""S 110°19'10""E",-,-,https://geoparkjogja.jogjaprov.go.id/,-,-,-,-,Tidak Ada Keterangan,Alam,4.4,-7.804137305,110.3196555,Pemandangan bukit kapur/kapur  yang unik hasil penambangan yang berperan penting dalam sejarah berdirinya Keraton Yogyakarta sekaligus menjadi warisan geologi dan budaya,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",08.00-16.00,closed,Ada,Ada,Ada,Ada,Tidak Ada,Ada,Ada
Pantai Bugel Kulon Progo,"Pantai Bugel, Gumuk Waru, Bugel",Bugel,Panjatan,Kulon Progo,PAG,"7°57'00""S 110°09'10""E",-,-,-,-,pantaibugel,-,-,Tidak Ada Keterangan,Alam,4.1,-7.946301242,110.1521649,"Pantai dengan hamparan pasir hitam yang luas, menjadi tempat aktivitas nelayan",Rp0,Rp0,"Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Arus Progo Rafting ,Banjararum Kalibawang ,Banjararum,Kalibawang ,Kulon Progo,Pribadi (Basecamp),"-7.720784, 110.230995",081392162929,-,-,Arus Progo Rafting ,Arusprogorafting,-,-,Tidak Ada Keterangan,Alam,4.3,-7.72000087,110.2306428,Rafting sungai progo,Rp0,Rp0,"Rp3,000","Rp5,000",06.00-18.00,06.00-18.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Museum Terbuka Vulcano Park Bakalan,Bakalan Argomulyo Cangkringan ,Argomulyo ,Cangkringan ,Sleman,Pemerintah Daerah Sleman,"-7.656621, 110.461839",081327023167,-,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.3,-7.655292306,110.4610171,Kampung Terpendam,Rp0,Rp0,"Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Museum Gempa Prof. Dr. Sarwidi,"Kompleks Kemantren, Jl. Tlogo Putri, Kaliurang, Hargobinangun, Kec. Pakem",Hargobinangun,Pakem ,Sleman,Pemerintah,"-7.594632493878523, 110.43103359444586",-,-,-,Museum Gempa Prof. Dr. Sarwidi,museum_gempa_sarwidi,-,museumgempasarwidi,Tidak Ada Keterangan,Sejarah,4.6,-7.593144886,110.4309883,Koleksi maket dan edukasi tentang mitigasi dan teknologi rumah tahan gempa,"Rp25,000","Rp25,000","Rp3,000","Rp5,000",09.00-16.00,09.00-16.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Pantai Baru,Ngentak,Poncosari,Srandakan,Bantul,Tanah Kasultanan,"7°59'20""S 110°13'15""E",-,-,pantaibarubantul.blogspot.com/,Pantai Baru,pantaibarubantul,-,-,Tidak Ada Keterangan,Alam,4.4,-7.984737148,110.2212898,Pantai,"Rp10,000","Rp10,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Situs Candi Pelembutan,Ngasem Utara,Plembutan,Playen,Gunungkidul,Tanah Kasultanan,"-7.957140459040821, 110.5497586716986",0882272477754,-,-,-,-,-,-,Rendah,Sejarah,4.2,-7.957913637,110.5506905,Candi yang masih dalam tahap penelitian dan pelestarian.,Rp0,Rp0,"Rp3,000","Rp5,000",06.00-18.00,06.00-18.00,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Situs Candi Risan,Candi,Candirejo,Semin,Gunungkidul,Tanah Kasultanan,"7°49'40""S 110°45'18""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.4,-7.826065616,110.7552617,Situs purbakala berupa reruntuhan candi Hindu yang memiliki nilai sejarah dan arkeologis.,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",08.00-15.00,08.00-15.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Tidak Ada
Watu Giring," Jelok, RT.03/RW.03, Sambirejo",Pacarejo ,Semanu,Gunungkidul,Tanah Kasultanan dan TKD,"-7.9968751754723675, 110.62860327910761",083123958302,-,-,-,watugiring.gk,-,-,Tidak Ada Keterangan,Alam,4.2,-7.99594166,110.62844645,Pahatan batu bekas galian,Rp0,Rp0,"Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Ada
Gua Tapan,Parangreja,Girijati,Purwosari,Gunungkidul,Tanah Kasultanan,-,-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.4,-7.752897129,110.6320819,Gua alam yang masih alami dengan stalaktit dan stalagmit yang unik,"Rp8,000","Rp8,000","Rp3,000","Rp5,000",08.00-17.00,08.00-17.00,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Makam Raja-Raja Mataram Kotagede ,"Jl. Masjid Besar Mataram, Sayangan",Jagalan ,Banguntapan,Bantul,Milik Kasultanan Yogyakrta dan Solo (Tanah Kasultanan),"-7.829617731144583, 110.3989139791045",088215671145,-,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.1,-7.829532708,110.3989354,Kompleks makam raja-raja dan keluarga Kesultanan Mataram Islam,Rp0,Rp0,"Rp2,000","Rp5,000",10.00-13.00,10.00-17.00,Ada,Ada,Ada,Ada,Tidak Ada,Ada,Ada
Gua Jomblang,Jetis,Pacarejo,Semanu,Gunungkidul,SHM,"-8.028507389477937, 110.63830590794447",082257662003,08211117010,-,-,goa.jomblang_id,-,-,Tidak Ada Keterangan,Alam,4.6,-8.027904838,110.6383034,"Gua vertikal yang unik dengan fenomena ""cahaya surga"" saat matahari masuk dari lubang di atas gua.","Rp550,000","Rp550,000","Rp3,000","Rp5,000",08.00-14.00,08.00-14.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Museum Mini Sisa Hartaku,Petung Rt 2 Rw 05,Kepuharjo,Cangkringan ,Sleman,Pribadi,"-7.6005303,110.4490824",-,-,-,-,@museumminisisahartaku,-,-,Tidak Ada Keterangan,Sejarah,4.7,-7.59976486,110.449146,Rumah penduduk yang menyimpan barang-barang sisa erupsi Merapi 2010.,"Rp5,000","Rp5,000","Rp2,000","Rp5,000",06.00-18.00,06.00-18.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Kwaru,Kuwaru,Poncosari,Srandakan,Bantul,Tanah Kasultanan,"7°59'20""S 110°13'15""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.1,-7.989520551,110.2263768,Pantai dengan Hutan cemara udang yang sangat rindang dan sejuk,"Rp10,000","Rp10,000","Rp5,000","Rp10,000",00.00-23.59,00.00-23.59,Tidak Ada,Tidak Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Tidak Ada
Gua Pari,Duwetrejo ,Duwetrejo Karangtengah ,Wonosari ,Gunungkidul,SHM (Pribadi),"-7.918818, 110.610493",087725550225,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,3.9,-7.862404121,110.6017455,Gua alami dengan formasi batuan uni,Rp0,Rp0,"Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Tidak Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Tidak Ada
